date,posts,cumulative_posts,platform,topic
2023-01-11,151,2979,ig,gpt3
2023-01-12,131,3110,ig,gpt3
2023-01-13,129,3239,ig,gpt3
2023-01-14,96,3335,ig,gpt3
2023-01-15,85,3420,ig,gpt3
2023-01-16,129,3549,ig,gpt3
2023-01-17,154,3703,ig,gpt3
2023-01-18,143,3846,ig,gpt3
2023-01-19,167,4013,ig,gpt3
2023-01-20,137,4150,ig,gpt3
2023-01-21,96,4246,ig,gpt3
2023-01-22,93,4339,ig,gpt3
2023-01-23,200,4539,ig,gpt3
2023-01-24,190,4729,ig,gpt3
2023-01-25,201,4930,ig,gpt3
2023-01-26,167,5097,ig,gpt3
2023-01-27,187,5284,ig,gpt3
2023-01-28,117,5401,ig,gpt3
2023-01-29,109,5510,ig,gpt3
2023-01-30,198,5708,ig,gpt3
2023-01-31,201,5909,ig,gpt3
2023-02-01,227,6136,ig,gpt3
2023-02-02,288,6424,ig,gpt3
2023-02-03,237,6661,ig,gpt3
2023-02-04,163,6824,ig,gpt3
2023-02-05,154,6978,ig,gpt3
2023-02-06,249,7227,ig,gpt3
2023-02-07,368,7595,ig,gpt3
2023-02-08,314,7909,ig,gpt3
2023-02-09,367,8276,ig,gpt3
2023-02-10,241,8517,ig,gpt3
2023-02-11,171,8688,ig,gpt3
2023-02-12,180,8868,ig,gpt3
2023-02-13,240,9108,ig,gpt3
2023-02-14,273,9381,ig,gpt3
2023-02-15,225,9606,ig,gpt3
2023-02-16,8,9614,ig,gpt3
2023-02-17,217,9831,ig,gpt3
2023-02-18,170,10001,ig,gpt3
2023-02-19,138,10139,ig,gpt3
2023-02-20,184,10323,ig,gpt3
2023-02-21,219,10542,ig,gpt3
2023-02-22,202,10744,ig,gpt3
2023-02-23,186,10930,ig,gpt3
2023-03-09,924,924,fb,gpt4
2023-03-10,723,1647,fb,gpt4
2023-03-11,585,2232,fb,gpt4
2023-03-12,392,2624,fb,gpt4
2023-03-13,713,3337,fb,gpt4
2023-03-14,1052,4389,fb,gpt4
2023-03-15,1718,6107,fb,gpt4
2023-03-16,1359,7466,fb,gpt4
2023-03-17,1234,8700,fb,gpt4
2023-03-18,655,9355,fb,gpt4
2023-03-19,674,10029,fb,gpt4
2023-03-20,947,10976,fb,gpt4
2023-03-21,1208,12184,fb,gpt4
2023-03-22,1292,13476,fb,gpt4
2023-03-23,1040,14516,fb,gpt4
2023-03-24,1122,15638,fb,gpt4
2023-03-25,630,16268,fb,gpt4
2023-03-26,516,16784,fb,gpt4
2023-03-27,1058,17842,fb,gpt4
2023-03-28,1049,18891,fb,gpt4
2023-03-29,1186,20077,fb,gpt4
2023-03-30,1248,21325,fb,gpt4
2023-03-31,1265,22590,fb,gpt4
2023-04-01,859,23449,fb,gpt4
2023-04-02,584,24033,fb,gpt4
2023-04-03,940,24973,fb,gpt4
2023-04-04,1051,26024,fb,gpt4
2023-04-05,1013,27037,fb,gpt4
2023-04-06,1049,28086,fb,gpt4
2023-04-07,937,29023,fb,gpt4
2023-04-08,615,29638,fb,gpt4
2023-04-09,557,30195,fb,gpt4
2023-04-10,860,31055,fb,gpt4
2023-04-11,1112,32167,fb,gpt4
2023-04-12,1210,33377,fb,gpt4
2023-04-13,1163,34540,fb,gpt4
2023-04-14,976,35516,fb,gpt4
2023-04-15,806,36322,fb,gpt4
2023-04-16,519,36841,fb,gpt4
2023-04-17,917,37758,fb,gpt4
2023-04-18,1261,39019,fb,gpt4
2023-04-19,1091,40110,fb,gpt4
2023-04-20,960,41070,fb,gpt4
2023-04-21,955,42025,fb,gpt4
2023-04-22,596,42621,fb,gpt4
2023-04-23,510,43131,fb,gpt4
2023-04-24,930,44061,fb,gpt4
2023-04-25,985,45046,fb,gpt4
2023-04-26,1027,46073,fb,gpt4
2023-04-27,1005,47078,fb,gpt4
2023-04-28,967,48045,fb,gpt4
2023-04-29,591,48636,fb,gpt4
2023-04-30,542,49178,fb,gpt4
2023-05-01,811,49989,fb,gpt4
2023-05-02,1137,51126,fb,gpt4
2023-05-03,1215,52341,fb,gpt4
2023-05-04,1311,53652,fb,gpt4
2023-05-05,1079,54731,fb,gpt4
2023-05-06,701,55432,fb,gpt4
2023-05-07,607,56039,fb,gpt4
2023-05-08,931,56970,fb,gpt4
2023-05-09,1053,58023,fb,gpt4
2023-05-10,1050,59073,fb,gpt4
2023-05-11,1090,60163,fb,gpt4
