date,cumulative_unique_users,platform,topic
2023-01-30,2801,ig,gpt3
2023-01-31,2908,ig,gpt3
2023-02-01,2991,ig,gpt3
2023-02-02,3118,ig,gpt3
2023-02-03,3211,ig,gpt3
2023-02-04,3267,ig,gpt3
2023-02-05,3305,ig,gpt3
2023-02-06,3401,ig,gpt3
2023-02-07,3539,ig,gpt3
2023-02-08,3684,ig,gpt3
2023-02-09,3819,ig,gpt3
2023-02-10,3922,ig,gpt3
2023-02-11,3991,ig,gpt3
2023-02-12,4057,ig,gpt3
2023-02-13,4137,ig,gpt3
2023-02-14,4251,ig,gpt3
2023-02-15,4334,ig,gpt3
2023-02-16,4340,ig,gpt3
2023-02-17,4439,ig,gpt3
2023-02-18,4504,ig,gpt3
2023-02-19,4558,ig,gpt3
2023-02-20,4643,ig,gpt3
2023-02-21,4724,ig,gpt3
2023-02-22,4806,ig,gpt3
2023-02-23,4886,ig,gpt3
2023-03-09,714,fb,gpt4
2023-03-10,1185,fb,gpt4
2023-03-11,1531,fb,gpt4
2023-03-12,1741,fb,gpt4
2023-03-13,2156,fb,gpt4
2023-03-14,2632,fb,gpt4
2023-03-15,3449,fb,gpt4
2023-03-16,3976,fb,gpt4
2023-03-17,4479,fb,gpt4
2023-03-18,4698,fb,gpt4
2023-03-19,4968,fb,gpt4
2023-03-20,5328,fb,gpt4
2023-03-21,5761,fb,gpt4
2023-03-22,6202,fb,gpt4
2023-03-23,6557,fb,gpt4
2023-03-24,6945,fb,gpt4
2023-03-25,7134,fb,gpt4
2023-03-26,7305,fb,gpt4
2023-03-27,7658,fb,gpt4
2023-03-28,7972,fb,gpt4
2023-03-29,8354,fb,gpt4
2023-03-30,8794,fb,gpt4
2023-03-31,9175,fb,gpt4
2023-04-01,9465,fb,gpt4
2023-04-02,9618,fb,gpt4
2023-04-03,9913,fb,gpt4
2023-04-04,10240,fb,gpt4
2023-04-05,10539,fb,gpt4
2023-04-06,10856,fb,gpt4
2023-04-07,11134,fb,gpt4
2023-04-08,11292,fb,gpt4
2023-04-09,11441,fb,gpt4
2023-04-10,11666,fb,gpt4
2023-04-11,12008,fb,gpt4
2023-04-12,12335,fb,gpt4
2023-04-13,12659,fb,gpt4
2023-04-14,12929,fb,gpt4
2023-04-15,13152,fb,gpt4
2023-04-16,13275,fb,gpt4
2023-04-17,13514,fb,gpt4
2023-04-18,13851,fb,gpt4
2023-04-19,14189,fb,gpt4
2023-04-20,14465,fb,gpt4
2023-04-21,14765,fb,gpt4
2023-04-22,14918,fb,gpt4
2023-04-23,15059,fb,gpt4
2023-04-24,15297,fb,gpt4
2023-04-25,15565,fb,gpt4
2023-04-26,15838,fb,gpt4
2023-04-27,16104,fb,gpt4
2023-04-28,16359,fb,gpt4
2023-04-29,16478,fb,gpt4
2023-04-30,16585,fb,gpt4
2023-05-01,16782,fb,gpt4
2023-05-02,17069,fb,gpt4
2023-05-03,17367,fb,gpt4
2023-05-04,17665,fb,gpt4
2023-05-05,17948,fb,gpt4
2023-05-06,18098,fb,gpt4
2023-05-07,18200,fb,gpt4
2023-05-08,18398,fb,gpt4
2023-05-09,18650,fb,gpt4
2023-05-10,18905,fb,gpt4
2023-05-11,19136,fb,gpt4
2023-05-12,19419,fb,gpt4
2023-05-13,19547,fb,gpt4
2023-05-14,19662,fb,gpt4
2023-05-15,19858,fb,gpt4
2023-05-16,20186,fb,gpt4
2023-05-17,20542,fb,gpt4
2023-05-18,20812,fb,gpt4
2023-05-19,21086,fb,gpt4
2023-05-20,21219,fb,gpt4
2023-05-21,21335,fb,gpt4
2023-05-22,21523,fb,gpt4
2023-05-23,21736,fb,gpt4
2023-05-24,21919,fb,gpt4
2023-05-25,21927,fb,gpt4
2023-05-26,22112,fb,gpt4
2023-05-27,22232,fb,gpt4
2023-05-28,22334,fb,gpt4
2023-05-29,22450,fb,gpt4
2023-05-30,22636,fb,gpt4
2023-05-31,22906,fb,gpt4
2023-06-01,23115,fb,gpt4
2023-06-02,23314,fb,gpt4
2023-06-03,23423,fb,gpt4
2023-06-04,23494,fb,gpt4
2023-06-05,23675,fb,gpt4
2023-06-06,23885,fb,gpt4
2023-06-07,24110,fb,gpt4
2023-06-08,24314,fb,gpt4
2023-06-09,24526,fb,gpt4
2023-03-09,176,ig,gpt4
2023-03-10,316,ig,gpt4
2023-03-11,399,ig,gpt4
2023-03-12,465,ig,gpt4
2023-03-13,556,ig,gpt4
2023-03-14,712,ig,gpt4
2023-03-15,928,ig,gpt4
2023-03-16,1102,ig,gpt4
2023-03-17,1267,ig,gpt4
2023-03-18,1352,ig,gpt4
2023-03-19,1433,ig,gpt4
2023-03-20,1535,ig,gpt4
2023-03-21,1691,ig,gpt4
2023-03-22,1845,ig,gpt4
2023-03-23,1978,ig,gpt4
2023-03-24,2080,ig,gpt4
2023-03-25,2149,ig,gpt4
2023-03-26,2212,ig,gpt4
2023-03-27,2341,ig,gpt4
2023-03-28,2472,ig,gpt4
2023-03-29,2617,ig,gpt4
2023-03-30,2750,ig,gpt4
2023-03-31,2873,ig,gpt4
2023-04-01,3003,ig,gpt4
2023-04-02,3084,ig,gpt4
2023-04-03,3207,ig,gpt4
2023-04-04,3321,ig,gpt4
2023-04-05,3446,ig,gpt4
2023-04-06,3560,ig,gpt4
2023-04-07,3672,ig,gpt4
2023-04-08,3754,ig,gpt4
2023-04-09,3830,ig,gpt4
2023-04-10,3923,ig,gpt4
2023-04-11,4041,ig,gpt4
2023-04-12,4158,ig,gpt4
2023-04-13,4305,ig,gpt4
2023-04-14,4447,ig,gpt4
2023-04-15,4534,ig,gpt4
2023-04-16,4591,ig,gpt4
2023-04-17,4700,ig,gpt4
2023-04-18,4834,ig,gpt4
2023-04-19,4978,ig,gpt4
2023-04-20,5093,ig,gpt4
2023-04-21,5198,ig,gpt4
2023-04-22,5253,ig,gpt4
2023-04-23,5304,ig,gpt4
2023-04-24,5402,ig,gpt4
2023-04-25,5495,ig,gpt4
2023-04-26,5599,ig,gpt4
2023-04-27,5686,ig,gpt4
2023-04-28,5765,ig,gpt4
2023-04-29,5820,ig,gpt4
2023-04-30,5864,ig,gpt4
2023-05-01,5944,ig,gpt4
2023-05-02,6053,ig,gpt4
2023-05-03,6171,ig,gpt4
2023-05-04,6297,ig,gpt4
2023-05-05,6409,ig,gpt4
2023-05-06,6476,ig,gpt4
2023-05-07,6523,ig,gpt4
2023-05-08,6605,ig,gpt4
2023-05-09,6712,ig,gpt4
2023-05-10,6824,ig,gpt4
2023-05-11,6925,ig,gpt4
2023-05-12,7018,ig,gpt4
2023-05-13,7075,ig,gpt4
2023-05-14,7124,ig,gpt4
2023-05-15,7207,ig,gpt4
2023-05-16,7319,ig,gpt4
2023-05-17,7442,ig,gpt4
2023-05-18,7549,ig,gpt4
2023-05-19,7656,ig,gpt4
2023-05-20,7731,ig,gpt4
2023-05-21,7787,ig,gpt4
2023-05-22,7879,ig,gpt4
2023-05-23,7982,ig,gpt4
2023-05-24,8071,ig,gpt4
